source_db,trial_id,LOSS_13_def1,LOSS_13_def3,LOSS_14_def1,LOSS_14_def3,LOSS_15_def1,LOSS_15_def3,LOSS_16_def1,LOSS_16_def3,LOSS_17_def1,LOSS_17_def3,LOSS_18_def1,LOSS_18_def3,LOSS_19_def1,LOSS_19_def3,LOSS_20_def1,LOSS_20_def3,has_laziness,param_id_threshold,param_sensory_prec_slope,param_k_shelter,param_k_threat,param_delta_stay,metric_entropy,metric_laziness,metric_n_ch_co,metric_n_co_ch,metric_n_co_sh,metric_n_sh_co,metric_t_investigating,metric_t_shelter
Resilient_hab.db,0,98.55930481738274,38.949777952360414,105.6038758801412,53.4831809536752,166.43019893506505,94.28316418763129,47.23811799463453,110.56292816879872,81.38044843749611,86.00659249330369,82.31331488295218,62.33960647318311,36.34467998641471,141.73266082912642,24.62206899137268,32.53055234095527,True,0.15,0.15,3.5,0.2,3.0,4.437247389550706,0.6675,24.0,25.0,7.0,8.0,0.497,0.1705
Resilient_hab.db,1,135.11608318210804,66.26198295915539,143.9590222168214,76.12574680742345,190.53672950883214,126.14373545582826,42.786086467179295,150.62701357912294,99.78235307836314,85.89718882946534,125.13730013698581,96.2348844185059,87.09579426150336,200.02045382436862,41.50375203381299,38.85243243715191,True,0.3024580721799295,0.1814805079430321,1.859655152044377,0.31234840237505257,4.817122782147093,3.9899805620203534,0.772,14.0,15.0,8.0,9.0,0.726,0.092
Resilient_hab.db,2,113.97521226529753,48.65637097050014,123.59441161709353,61.649246771518435,178.74837661522895,107.32377518228955,36.854010587428135,130.4197219094555,87.43729081959248,82.34627104028968,104.29968215315162,77.5888888838218,57.79875410090909,177.03083406674963,26.86352370498356,26.052155406100198,True,0.31289562394043313,0.06854267481640983,2.795177510031426,0.17187355722997896,5.687049601238425,4.263146093622495,0.7005,17.0,18.0,4.0,5.0,0.6175,0.094
Resilient_hab.db,3,121.14060751468418,55.808614657259085,127.72374748640863,75.62676639328345,199.75839514557114,115.52316882934086,74.85725856161807,134.00956381143112,109.20754674366364,119.5036636200453,98.26313489737143,77.97380609314654,46.05516300177777,152.50433644605528,41.909683236397214,53.209354590328985,True,0.1428272862802693,0.05364180876411626,3.6364903851393446,0.4104823908087206,2.304153277852656,4.607342583863712,0.6035,28.0,28.0,10.0,11.0,0.45,0.1475
Resilient_hab.db,4,81.10356725969564,32.695246456278475,85.64204982010966,47.392697471534035,147.3282453873788,77.27395763478566,55.985991410519034,90.66787634118742,74.18634848827645,85.97939501386624,61.59633978128734,47.666398469508955,22.8478719351796,106.27892055692271,26.51548099625267,39.34646457870514,True,0.14520944521648643,0.12001389018452961,4.044011943311042,0.5733413837020603,2.7711426170635427,4.528115380791329,0.6435,26.0,26.0,12.0,12.0,0.3625,0.23
Resilient_hab.db,5,86.73257507902602,31.034262520731016,92.99888353917633,41.409318184449845,143.1246229473361,81.23164698527356,30.2557450195237,97.74044564993432,64.76544926150135,62.54800790722592,72.61948183730577,52.47719927060534,38.15891475064797,130.6645244218256,16.562404667757097,22.21776333800644,True,0.2508733912774208,0.15044456490577784,3.5559751837875804,0.21482682520558685,5.549739042041462,4.30338993780826,0.7285,20.0,20.0,11.0,11.0,0.554,0.2045
Resilient_hab.db,6,88.30695656295177,31.14911701181918,94.55934498992563,43.956129327412164,149.2552303338977,81.65222058720249,34.13289713554711,100.48973154370623,69.4151441158792,69.30422324906161,71.86979751180759,51.0549793228325,35.86281729276669,126.81739501057359,16.753295745717466,22.8009224693597,True,0.3671474591661569,0.12995120454518652,2.8773885295842208,0.4432503572276566,3.058330846670649,4.173215040903867,0.6935,20.0,20.0,13.0,13.0,0.529,0.1935
Resilient_hab.db,7,125.80136406108501,60.92824069783673,134.78445141884453,69.73599412240937,179.2785979158833,117.58030122450755,37.29391201542123,141.25554541194597,91.68312671182731,78.15069473566695,117.92043569832109,89.92816229934613,81.46533612829711,192.29731818580981,37.325087091280736,34.002501808343645,True,0.26204969181514287,0.03307189816199258,2.145726229188237,0.16352678861904982,3.7111704796037297,4.058329843344601,0.774,13.0,14.0,7.0,8.0,0.707,0.1075
Resilient_hab.db,8,135.01697339217023,65.3842134227725,141.54489506388666,87.18493132216909,217.3712474553546,128.49074374908997,86.318775263026,148.2491732992052,123.26086828464162,134.07063459774383,109.09261515546231,87.66977450143955,54.83984134461743,162.06268691855945,50.322651574280755,62.54606588501129,True,0.19192137475524026,0.18514308375652136,2.4625665532153045,0.4185898834079803,1.580352474142158,4.623229573282454,0.5845,29.0,29.0,12.0,13.0,0.4615,0.142
Resilient_hab.db,9,76.22090664789754,25.116722749708103,82.56194879757432,33.4610844251034,128.55442406037855,70.84038671257198,20.908207710067227,87.69204546798267,53.945136500372065,50.78918266781857,66.0382923138385,46.63544226836922,33.86079995601942,126.63198923072649,11.77075412633702,15.436682642416656,True,0.29561385239833393,0.10228435935322538,4.600179579011966,0.17464012483831517,4.216147117261721,4.055433117000669,0.752,18.0,18.0,8.0,9.0,0.536,0.1785
Resilient_hab.db,10,53.36270671448446,14.58302550245799,57.92306433531561,23.772350556050412,107.33598199035009,50.343070496677896,28.717784156973323,62.30233786125318,43.74374975068853,50.61796081057534,40.7903036376737,28.109778809776078,11.720404126252896,87.06318905155368,9.805185175781466,19.00225303977429,True,0.15435053779263125,0.1363768161669565,4.214863836404064,0.2556062605910834,2.96326676825782,4.358231956461516,0.7025,21.0,21.0,10.0,11.0,0.377,0.2605
Resilient_hab.db,11,86.65259212944976,33.321468295483314,92.46284196101907,47.76855318797358,153.7856626325995,82.79341883669579,49.27847764472584,97.51525875505702,74.89002834780572,83.66960094224648,69.52508874774824,52.91781842594605,26.3525877557068,122.66628723595608,23.468524369340813,33.74619978695963,True,0.1747609273647664,0.1474148356801033,4.680819845486047,0.45580767844305425,3.6851656614006796,4.408791130673976,0.658,25.0,26.0,8.0,9.0,0.418,0.1855
Resilient_hab.db,12,86.53489257734242,30.06575980503364,93.3276037271786,41.81867630760816,146.9777395887214,80.92532611781513,30.653082793444995,98.91694489858453,66.2939264658352,66.24737784653891,73.20218050562606,52.63785967735956,34.21505603403697,133.72479486186901,15.489648357498762,20.540292610175634,True,0.11493035903478938,0.11190761272731416,4.7082128797947576,0.5783763628256633,3.0244324384769916,4.240864309499253,0.709,20.0,21.0,8.0,9.0,0.525,0.1595
Resilient_hab.db,13,108.67978758195176,49.908250930186355,114.22806568818966,68.3260383145531,183.48456377699492,103.98502677834841,73.3898640193521,119.71504147607402,99.98861237659881,111.92037061671024,85.52965426988104,68.16877769588497,38.784647437500254,133.2962828078089,39.51452185305176,52.62493126518521,True,0.11977339865096112,0.19123928199030016,3.7586756256324065,0.5673774357585082,1.9664542345967901,4.3480934726184675,0.6075,28.0,28.0,12.0,13.0,0.409,0.204
Resilient_hab.db,14,91.09638157072851,34.650338825539805,99.52723129580268,47.78141183200527,154.08568439480496,84.40859754046814,31.113930267402523,106.7153971213289,72.13782784142785,70.5733520453575,79.81210241529689,56.12848809539598,40.72489137893429,140.35990914980042,17.61900237923003,18.561037943462292,True,0.21369793881493326,0.14283776936731243,2.6338306106182867,0.5631918739251771,3.609215496888779,4.415155287648998,0.6705,16.0,16.0,9.0,10.0,0.539,0.168
Resilient_hab.db,15,132.34734112208605,68.19309725044835,139.34359434441035,90.77620824891412,216.4519962763486,126.05062996358316,92.4290132658997,146.97617327266892,126.03339174954957,139.6613246599405,108.07856428424921,87.30721968389892,54.512874659817996,157.32993276271065,54.978059878574115,66.06161076238625,True,0.2630976105875037,0.09987307233381568,3.6345404026829247,0.5910190436762891,2.177468707757884,4.583426512857265,0.5475,27.0,27.0,12.0,13.0,0.403,0.159
Resilient_hab.db,16,74.77324398948225,23.939467169940865,80.90480097296216,34.01222370055853,131.04815434049758,70.08570614148057,26.493378443893466,85.75467011857342,56.256035640270795,56.718143972388575,62.19902758524337,43.88394736070712,27.981511858796345,118.69461482227601,11.934382872794464,17.83834761574117,True,0.11520320423850029,0.08311493541796162,4.138060295149835,0.32821494390281203,4.708443884139965,4.376612167574539,0.7195,20.0,20.0,9.0,10.0,0.5005,0.2055
Resilient_hab.db,17,51.34747755424404,15.103171077923564,56.787032684194806,19.166030697570122,94.32769052694994,49.186615086132804,15.041314119388034,59.628272872688186,33.989590392528875,32.47534078148378,44.51541308817433,30.27272307235777,22.535267187391604,96.11511009953895,7.527269208339946,12.52716129105627,True,0.10995125770065808,0.08888520493829895,4.8472163332006,0.11263003355914394,4.480764101643704,4.038996714523325,0.7665,16.0,17.0,9.0,10.0,0.475,0.3075
Resilient_hab.db,18,133.19205771281435,64.08040069925251,138.44629309350583,85.10895079258977,213.09613844627262,126.93498145680063,88.10702663267027,144.1714545064641,121.17823376475687,132.36831746918895,104.81407943780297,85.26630283206251,53.35517943972324,154.44195778662572,50.69626016838093,65.7236767847368,True,0.2440425747905724,0.19283417500828592,3.795326904220528,0.18814643069369175,1.9214116845125464,4.549958874452285,0.6035,31.0,31.0,14.0,15.0,0.459,0.1665
Resilient_hab.db,19,73.42933190165803,27.232639913894015,78.01054474905821,41.036163165488354,136.88408923871643,68.94780696046364,47.65223994527146,83.4210858687864,66.39354154576742,76.3617199439713,55.0191481062225,40.57592928059522,20.110167311994896,98.2778003479251,20.940443125372123,32.24162535121264,True,0.13571514500696047,0.15951229607733985,4.351112995792626,0.17988120415172315,5.210548088932034,4.420829082463406,0.649,23.0,24.0,13.0,14.0,0.3705,0.243
Resilient_hab.db,20,64.7272727966278,24.927951516829108,71.44292022527698,27.230146700825202,104.53804281676075,61.01516909620038,11.358198828638104,75.65159078879111,40.10660156720356,32.56855927350976,63.22658959795257,45.53242382630405,39.765402772178064,126.88837738028096,13.33810975082271,12.925853679952574,True,0.1036308344518323,0.04686974068940221,4.825989884358159,0.11808067274755232,5.547148790672871,3.7419225146768444,0.8115,13.0,13.0,5.0,5.0,0.5405,0.2105
Resilient_hab.db,21,47.21041820388789,12.204575052639424,50.76763527507373,21.635097282121677,100.80824690773039,43.409187266426656,30.753558956948517,56.07858020610365,41.21291038482817,50.59250267106768,33.94764009868522,23.10971630661457,7.121349215388538,76.38816612532567,10.401800723016155,20.61748673167959,True,0.10577868193770393,0.05037159293688951,4.823060725668441,0.13541111318199267,4.0835448707937365,4.440836192240013,0.6985,21.0,21.0,11.0,12.0,0.3185,0.2405
Resilient_hab.db,22,107.18547092679498,41.28076203236911,114.18839485925626,56.143600263894825,174.44209837936336,100.10204189928261,42.598486150042966,120.67187620773325,84.89640428665265,85.25866323676938,90.21522805561484,67.32913430515397,44.354261784460675,154.38477593199107,23.89101041393853,29.805944589142218,True,0.13173881999656833,0.19114011881151463,4.227121243751255,0.19940921475744824,5.165678429020018,4.199533775604221,0.6935,23.0,23.0,8.0,9.0,0.553,0.0975
Resilient_hab.db,23,134.1917012643136,61.47813501077627,141.26250617861402,81.82488258923665,214.5871203847996,127.68812338964918,75.38898366103079,147.8221706281504,117.07610294432136,124.829602805091,111.04074532271383,88.36986651668016,54.26967517707792,172.5958034204548,44.233857147398226,54.630382129490634,True,0.11397364139949763,0.0802724331944688,4.460574221632518,0.17113828265455985,2.94134653517362,4.450641330497985,0.6225,29.0,29.0,8.0,9.0,0.505,0.0855
Resilient_hab.db,24,4.600679421819433,15.089599741613359,7.4084477739532275,8.104305113470007,24.98304351225051,11.15088208803826,31.55709215203144,6.372095484712503,6.256915857477502,15.39770101864837,11.257358071695554,13.965160686407067,12.020237444306897,42.77455884339167,27.760754270350947,35.57323731281596,True,0.10195040492439852,0.05540701729441212,4.950524613562194,0.11514003771195819,3.1547072340035216,2.940415635517681,0.7985,13.0,13.0,5.0,5.0,0.1795,0.5335
Resilient_hab.db,25,76.36987890261638,23.504162948347012,81.95770283791668,35.49464646915842,135.83992785767188,70.02451472441291,29.144738481659665,88.05659620158822,59.749409981823774,61.748078689400515,61.072341204193734,42.3746618282436,26.044305874931855,115.25295609238324,11.828540526939893,18.56444608334826,True,0.18386516434428635,0.056107864396907396,4.714383934380407,0.10048546249947216,3.954629748949305,4.435475342426308,0.7025,20.0,21.0,11.0,12.0,0.4785,0.172
Resilient_hab.db,26,106.50561640771747,43.445625187064806,112.8933870425387,61.158063640786786,179.44971508987175,99.92261202884843,56.70354094479422,119.56316257410299,92.19057877767487,98.85775486680157,85.66315896302285,64.90313471078602,38.89755509068435,140.46594552412256,29.290841556816343,38.51929377834355,True,0.1695311071541818,0.012402505893857364,3.418453156356363,0.12949346177063567,3.2091098776291367,4.564986546279233,0.6345,25.0,25.0,11.0,12.0,0.474,0.1445
Resilient_hab.db,27,43.48348537730225,115.5654401726395,43.64729780846128,84.70778259243069,12.572734391586746,62.021337226629626,126.58767249225454,34.22491093128783,52.70183645011721,57.944594515758,74.81818736817303,96.19068282828194,120.85445802710412,88.02915678396099,148.41566498931795,153.71954529028315,True,0.1295664362102361,0.015088075447874515,4.979333405136158,0.20502434994475685,3.5252931575589685,1.3572832218645063,0.976,1.0,1.0,1.0,1.0,0.021,0.9325
Resilient_hab.db,28,117.73209678030508,54.44280362312095,123.98759827921205,73.894458043839,195.2294716868997,112.44406525731281,75.14154258809197,129.94761015278658,106.95628050226787,117.78161349481279,94.52112607111242,75.13811597859036,44.22784821921469,146.1782741558665,41.622657927923726,53.61084026261883,True,0.13340491612504124,0.03087740713168545,4.720073353220994,0.22693577484517932,3.1632206585282496,4.451891747337988,0.6025,28.0,28.0,11.0,12.0,0.4385,0.1725
Resilient_hab.db,29,110.09529429802744,44.537713583400816,117.94449749461808,60.75193176976252,181.93220971238267,104.12178611461623,48.804162954605204,124.54042533021591,90.45806299261181,93.90235242545384,94.24812627816334,71.48768263434118,43.16076172217062,160.06704173592132,27.342299974684295,33.10894722829023,True,0.15066565938647414,0.017814980427522928,4.29959635965493,0.27933454911987804,3.6683708527890175,4.254602800697913,0.6635,24.0,24.0,5.0,6.0,0.52,0.087
Resilient_hab.db,30,50.23844604645748,24.12095880864355,53.9568796664485,33.89947519716739,105.80804350209272,49.525277890009875,52.72567909308066,58.054123527070445,52.529668833301216,68.10694439005911,37.794859521298065,30.496950155521937,11.130666246565408,72.57120862082368,26.57582531206325,38.86406066398725,True,0.12603362796562903,0.08484931370098736,4.989859822474759,0.11532686856436856,1.7880319789810764,4.098980600321254,0.6495,22.0,22.0,11.0,11.0,0.2305,0.333
Resilient_hab.db,31,28.20537719527024,8.553101633867811,32.68081368166125,8.767028943003151,64.03738223327447,30.29169052521813,16.843479264685563,33.30280549366501,18.05456636487417,21.68655078468177,25.729628996889915,18.43466912558147,10.178105389825909,70.07245340692178,8.708384480458644,16.06267498552802,True,0.24699329833024225,0.048389915808708925,4.886265037288072,0.28180300936757163,3.9061650088544897,3.796582139814748,0.7745,17.0,17.0,7.0,7.0,0.3635,0.4055
Resilient_hab.db,32,105.58898212830164,44.259975288441694,111.54427148683106,62.68358334416285,179.7874737503401,98.888127721193,61.496470920542194,118.48766354775182,94.20247892497274,103.0591094850941,83.61472837504849,63.825285784021375,37.253739923832825,135.0972375366698,31.656662683038697,41.960023036491364,True,0.19550722067617693,0.09866431794668291,4.251412465055054,0.11544874413490948,2.0177776103928804,4.673758284785278,0.6195,25.0,26.0,12.0,13.0,0.439,0.1495
