source_db,trial_id,LOSS_13_def1,LOSS_13_def3,LOSS_14_def1,LOSS_14_def3,LOSS_15_def1,LOSS_15_def3,LOSS_16_def1,LOSS_16_def3,LOSS_17_def1,LOSS_17_def3,LOSS_18_def1,LOSS_18_def3,LOSS_19_def1,LOSS_19_def3,LOSS_20_def1,LOSS_20_def3,LOSS_21_def1,LOSS_21_def3,LOSS_22_def1,LOSS_22_def3,LOSS_23_def1,LOSS_23_def3,LOSS_24_def1,LOSS_24_def3,LOSS_25_def1,LOSS_25_def3,LOSS_26_def1,LOSS_26_def3,has_laziness,param_id_threshold,param_k_shelter,param_k_threat,param_delta_stay,param_sensory_prec_slope,metric_entropy,metric_laziness,metric_n_ch_co,metric_n_co_ch,metric_n_co_sh,metric_n_sh_co,metric_t_investigating,metric_t_shelter
Susceptible_def.db,0,76.92413868020424,35.830488527886914,82.56894627275645,50.89103668442483,144.5941458165469,73.57149761330697,60.31901156858942,88.79313828835976,75.8703629295187,90.18650277498432,61.43111832221403,47.693539985855196,23.130250261903882,103.94100912686109,31.21483325402407,41.17296455668751,60.12747237741757,32.080473102753295,41.022577170225475,43.85281800769995,37.32346071104265,58.6750747395198,87.9810229146641,90.02305847462699,97.73043929821381,84.41112214202982,63.812498557085206,176.00554829395048,True,0.05,5.0,0.1,1.5,,4.584042759712977,0.6025,22.0,23.0,10.0,11.0,0.2985,0.242
Susceptible_def.db,1,32.96411127012877,96.22391318705257,34.54061906354075,68.09430953004492,8.440862659011403,50.49723549185563,103.82032887974984,25.813173384960535,39.47463121225482,43.12491031203247,62.78205204090923,80.12539592243104,102.5275563204404,80.38947949130599,124.3351897854366,128.07718038326365,117.630021087169,146.05205277337134,87.7326236991043,96.71668538136521,104.21785782379368,90.77682722907433,151.03777259145778,36.14928897271691,124.59099672053466,130.73660017610638,88.28175013022313,7.177913600430763,True,0.015103726892147278,6.704538976457596,0.6004232743671417,2.211823492551386,,0.7859687958795712,0.9485,1.0,1.0,1.0,1.0,0.079,0.907
Susceptible_def.db,2,13.174517610893606,61.149468972235496,14.303881387828307,39.83385422434861,2.642834153123446,25.9888156356671,73.18359798342387,9.28124371842793,19.505793459488547,26.347083607663027,35.72191658828547,49.48130305727498,63.43467767851878,58.087227905627216,86.27184976277609,91.55011891193386,88.80518919981655,107.78418742112417,50.672844960492,61.43603632806025,69.68016400668363,63.851987494837154,121.01776826904687,20.27058969723271,98.62228134235329,102.48162394353703,63.075888225411866,7.907512420905105,True,0.3672639220259967,7.521287655363398,1.1102922793461993,2.0164348949199082,,1.9302900975115402,0.9115,5.0,5.0,1.0,2.0,0.0675,0.725
Susceptible_def.db,3,97.78966362665909,40.46247368544576,108.1196217513261,53.756275265910105,162.64613632938153,90.23115468739688,28.827132447163375,117.1621668282765,77.22276906648833,73.7848778017929,91.9743270867222,65.21461642282081,48.53714559917608,161.42019103022866,20.59313657572627,16.17896699202923,23.594979526859312,9.873363822777318,68.9208952893412,42.66879818437293,28.86767038611956,43.65916837096428,26.8157570776901,122.31614611807356,36.83071703264723,27.289712023298414,37.88370069349467,199.23028764746192,True,0.24837696044513902,2.0488688096158327,0.10966387647359355,2.913010359932934,,4.160220788748927,0.6655,12.0,13.0,4.0,5.0,0.5485,0.0865
Susceptible_def.db,4,119.24340360513877,58.38580541951376,130.33913357714266,77.28337869880033,196.37505013187584,111.73391186302979,57.55240796480468,140.13245222148782,106.0426085947231,108.74676392062759,108.32139500837577,80.53954584989214,58.146109099579206,170.81621860952328,38.18389205180707,35.889956874407034,52.84729176783511,24.895934793891257,82.6501007555942,62.419783467809,49.02849968775341,71.48898059349588,63.789898478909166,140.47767458291145,78.12014974512448,64.02060641476767,66.29837368958889,233.15110167363736,True,0.42367891808314245,2.195991293370329,0.16947918629128852,0.8940637454297724,,4.648938805193677,0.5685,14.0,15.0,7.0,8.0,0.5035,0.126
Susceptible_def.db,5,136.8170658002881,76.77965185376495,142.09430294585263,100.65998827686188,220.28077549490044,128.86500596876118,109.1241968138637,150.45954109251468,136.51467577980515,152.3120220401295,107.31402912777943,88.24320120367051,61.86447993597044,142.6200396210509,66.89689836209925,80.67742840523381,101.13792906971133,62.032145530088904,86.93432401797725,88.36446081879927,77.78471207224372,101.22422321323825,131.5533844096244,142.09827383287234,151.24832931961555,133.66030728667414,109.05949407384782,252.77754947706904,True,0.1293538048629546,4.080869173441826,0.09892885128442934,0.646955372489222,,4.6731238134388535,0.5175,26.0,26.0,21.0,21.0,0.3565,0.228
Susceptible_hab_FINAL.db,0,113.40744266677115,64.41179240129532,122.75487809491773,65.99655095057454,151.8224675722873,105.3346908778206,27.59182994224493,130.5191144286156,77.72748219946476,59.628850538223304,118.8560027561604,92.81575144335878,92.27114188416391,200.61003601145887,44.066025601060474,33.39060709773846,20.349740487461524,35.9260427559251,104.30495248406766,62.167141804067285,47.0124904303861,44.825599979259444,6.5889953777264285,142.62822972039888,8.321130774976671,8.145475194700847,35.5401520097338,186.0173242295505,True,0.7,0.36,0.45,1.37,0.64,3.087943081370515,0.854,5.0,6.0,0.0,1.0,0.6635,0.043
Susceptible_hab_FINAL.db,1,72.9383141336406,26.363959131258994,82.1532516974482,34.89731549906382,127.82026573666975,66.9308671084998,13.591965839632545,90.25115560849945,52.756759761555095,49.13218015532568,72.10452852922603,49.554696971146086,35.60012414786981,141.59666906036713,11.108366915717118,6.615770194376285,12.250376933559545,5.174971696448815,50.782183358260426,27.08433343021057,16.29613969249976,28.660611059390213,15.279628320414783,99.25327767867316,20.13450935789612,13.345208521574289,23.01264863837807,162.83245782002314,True,0.41591925612146174,0.8897630384862578,0.2631764614574091,1.2800509976921153,0.7270520600323089,4.236336820730287,0.722,11.0,12.0,1.0,2.0,0.5005,0.0915
Susceptible_hab_FINAL.db,2,76.05707082938403,27.997165939319885,84.26777313477932,41.38224638745753,142.67537931665962,70.91469711634699,32.84844934567778,92.70234644467533,64.58190676678012,71.58008549234687,69.49522315715483,50.157658785206465,23.631475869554393,133.88642711058085,16.750257567561857,18.29197717309031,35.749446061599585,15.105690495656145,40.48671560130097,31.2108814195825,23.549518080442397,45.77520784412975,49.400528908253136,102.73770904494994,55.95981596140815,45.308719911285486,45.1073702279235,180.71266940948345,True,0.5429129041504068,1.0475703460057624,0.4202701529261075,1.8348395249622864,0.6929946784325763,4.386195633875634,0.6575,18.0,19.0,0.0,1.0,0.383,0.06
Susceptible_hab_FINAL.db,3,52.18521698369482,81.41795001098146,49.88187532271705,66.27311003452033,48.26731099693795,46.43383084463859,79.8602045856496,59.67380039989853,51.783375755832616,54.38328104583364,71.41344976042821,77.54236490381118,94.02665712202638,113.30394727470001,103.97940925520768,101.72142609790698,114.42673971966184,129.90471794837646,66.31376519926611,68.19916388897119,88.8170888433936,95.10250148527558,125.15489447351861,77.23929627114498,99.86529420223607,108.49030240510562,87.57562476132725,66.41711351799923,True,0.7326105293899339,0.3481824239399708,0.7973744681875701,2.6890461213268786,0.4147495951209984,0.3643956412389178,0.9955,0.0,0.0,0.0,1.0,0.0,0.06
