mouse,t_shelter_raw,t_shelter_norm,t_investigating_raw,t_investigating_norm,n_sh_co_raw,n_sh_co_norm,n_co_sh_raw,n_co_sh_norm,n_co_ch_raw,n_co_ch_norm,n_ch_co_raw,n_ch_co_norm,heatmap_entropy_raw,heatmap_entropy_norm,laziness_raw,laziness_norm
13,0.05299999999999999,0.2717948717948717,-0.04800000000000004,-0.3200000000000003,6,0.9259259259259258,5,0.7587253414264037,6,1.6574585635359116,5,1.3736263736263736,0.45877008983186407,0.6746618968115647,-0.01849999999999996,-0.41111111111111026
14,0.064,0.3282051282051282,-0.19000000000000006,-1.266666666666667,9,1.3888888888888888,9,1.3657056145675266,4,1.1049723756906078,4,1.0989010989010988,0.6540957639692655,0.9619055352489198,-0.03300000000000003,-0.7333333333333341
15,-0.036500000000000005,-0.1871794871794872,-0.022499999999999964,-0.14999999999999977,5,0.7716049382716049,5,0.7587253414264037,3,0.8287292817679558,3,0.8241758241758241,0.32230550399644153,0.4739786823477081,-0.015499999999999958,-0.34444444444444355
16,0.0165,0.08461538461538462,0.031500000000000083,0.21000000000000058,3,0.4629629629629629,3,0.4552352048558422,4,1.1049723756906078,4,1.0989010989010988,0.003544819807210775,0.005212970304721728,-0.0040000000000000036,-0.08888888888888898
17,-0.07750000000000001,-0.39743589743589747,0.08700000000000002,0.5800000000000002,3,0.4629629629629629,2,0.30349013657056145,3,0.8287292817679558,3,0.8241758241758241,0.048656402381963115,0.07155353291465164,0.0,0.0
18,-0.0475,-0.24358974358974358,0.009500000000000008,0.0633333333333334,3,0.4629629629629629,3,0.4552352048558422,4,1.1049723756906078,4,1.0989010989010988,0.21828447409226026,0.32100657954744155,0.0009999999999998899,0.022222222222219777
20,0.07050000000000001,0.3615384615384616,0.02750000000000001,0.1833333333333334,10,1.5432098765432098,10,1.5174506828528074,3,0.8287292817679558,3,0.8241758241758241,0.09179710649958661,0.13499574485233323,0.00649999999999995,0.14444444444444335
21,0.047000000000000014,0.24102564102564109,-0.09800000000000003,-0.6533333333333335,6,0.9259259259259258,6,0.9104704097116844,5,1.3812154696132597,5,1.3736263736263736,0.224022181767082,0.3294443849515912,0.018500000000000072,0.4111111111111127
22,-0.0030000000000000027,-0.015384615384615398,-0.034499999999999975,-0.22999999999999984,6,0.9259259259259258,6,0.9104704097116844,4,1.1049723756906078,4,1.0989010989010988,0.025060991498021323,0.03685439926179606,0.007000000000000006,0.1555555555555557
23,-0.056499999999999995,-0.2897435897435897,-0.03649999999999998,-0.24333333333333318,10,1.5432098765432098,9,1.3657056145675266,8,2.2099447513812156,7,1.923076923076923,0.6607992921167782,0.971763664877615,-0.026499999999999968,-0.5888888888888882
24,-0.07550000000000001,-0.38717948717948725,-0.008500000000000008,-0.05666666666666672,13,2.006172839506173,14,2.12443095599393,5,1.3812154696132597,5,1.3736263736263736,0.6632733504771924,0.975401985995871,-0.018000000000000016,-0.40000000000000036
25,0.079,0.40512820512820513,-0.08899999999999997,-0.5933333333333332,3,0.4629629629629629,3,0.4552352048558422,2,0.5524861878453039,2,0.5494505494505494,0.3096374835547113,0.4553492405216343,0.006000000000000005,0.13333333333333347
26,0.06099999999999994,0.31282051282051254,-0.019999999999999997,-0.13333333333333333,10,1.5432098765432098,10,1.5174506828528074,1,0.27624309392265195,1,0.2747252747252747,0.0814926810898724,0.11984217807334176,0.0004999999999999449,0.011111111111109889
