,Column,Min Value,id_1,id_2,,Column,Min Loss,id_1 (Database),id_2 (ID)
66,LOSS_24_def1,2.736837175,Control_hab_FINAL.db,27,,,,,
67,LOSS_24_def1,4.140762205,calibration.db,33,,,,,
68,LOSS_24_def1,4.584074786,Control_hab_FINAL.db,0,,,,,
69,LOSS_24_def3,9.238976698,Resilient_def.db,77,,,,,
70,LOSS_24_def3,9.793327498,Resilient_hab.db,51,,,,,
71,LOSS_24_def3,10.38469056,Resilient_def.db,42,,,,,
72,LOSS_25_def1,2.405745976,Resilient_hab_FAIL.db,78,,,,,
73,LOSS_25_def1,2.61487651,Control_hab_FINAL.db,27,,,,,
74,LOSS_25_def1,3.002536933,Resilient_hab_FAIL.db,83,,,,,
75,LOSS_25_def3,1.493495208,Control_hab_FINAL.db,27,,,,,
76,LOSS_25_def3,2.479927479,Resilient_hab_FAIL.db,78,,,,,
77,LOSS_25_def3,2.943415033,Susceptible_hab_FINAL.db,88,,,,,
78,LOSS_26_def1,7.458873983,Resilient_hab_FAIL.db,75,,,,,
79,LOSS_26_def1,10.93720936,Resilient_hab_FAIL.db,84,,,,,
80,LOSS_26_def1,11.74873705,Resilient_hab_FAIL.db,72,,,,,
81,LOSS_26_def3,5.159217049,Resilient_def.db,26,,,,,
82,LOSS_26_def3,5.36986267,Resilient_hab.db,49,,,,,
83,LOSS_26_def3,5.497284297,Resilient_def.db,44,,,,,
