,Column,Min Value,id_1,id_2
95,LOSS_19_def3,40.710356709857,Resilient_def.db,78
96,LOSS_19_def3,41.780287632173554,Resilient_hab.db,51
97,LOSS_19_def3,42.77455884339167,Resilient_hab.db,24
98,LOSS_20_def1,2.5581600113057514,Susceptible_hab_FINAL.db,5
99,LOSS_20_def1,2.946028378539589,Resilient_hab_FAIL.db,58
100,LOSS_20_def1,3.39832530785575,Susceptible_hab_FINAL.db,86
101,LOSS_20_def1,3.890250755732216,Susceptible_hab_FINAL.db,44
102,LOSS_20_def1,4.077959100394203,Resilient_hab_FAIL.db,75
103,LOSS_20_def1,4.220931580648338,Resilient_hab_FAIL.db,68
104,LOSS_20_def1,4.26775948755063,Susceptible_hab_FINAL.db,74
105,LOSS_20_def3,1.8937469216874023,Susceptible_hab_FINAL.db,24
106,LOSS_20_def3,2.452140333302053,Susceptible_hab_FINAL.db,49
107,LOSS_20_def3,2.9694766843504063,Susceptible_hab_FINAL.db,74
108,LOSS_20_def3,3.145183830505694,Resilient_hab_FAIL.db,58
109,LOSS_20_def3,3.3818186436718864,Susceptible_hab_FINAL.db,5
110,LOSS_20_def3,3.704283444989934,Resilient_hab_FAIL.db,84
111,LOSS_20_def3,4.102471781137333,Susceptible_hab_FINAL.db,87
112,LOSS_21_def1,2.9964343146965065,Resilient_hab.db,20
113,LOSS_21_def1,4.414750344570075,Control_hab_FINAL.db,0
114,LOSS_21_def1,5.863539822812422,Resilient_hab.db,17
115,LOSS_21_def1,6.492431016696528,Resilient_hab_FAIL.db,75
116,LOSS_21_def1,6.665645954810591,Resilient_hab_FAIL.db,84
117,LOSS_21_def1,7.372545448324288,Susceptible_hab_FINAL.db,49
118,LOSS_21_def1,7.673900238075523,Resilient_def.db,8
119,LOSS_21_def3,3.1552344816702247,Susceptible_hab_FINAL.db,22
120,LOSS_21_def3,4.615981312102859,Susceptible_hab_FINAL.db,5
121,LOSS_21_def3,4.7801672275722265,Resilient_hab_FAIL.db,58
122,LOSS_21_def3,5.174971696448815,Susceptible_hab_FINAL.db,1
123,LOSS_21_def3,5.425560687734902,Susceptible_hab_FINAL.db,86
124,LOSS_21_def3,6.142236363166661,calibration.db,34
125,LOSS_21_def3,6.219610053227977,Susceptible_hab_FINAL.db,49
126,LOSS_22_def1,2.824451843931287,Control_hab_FINAL.db,34
127,LOSS_22_def1,3.402512211873633,Resilient_hab_FAIL.db,18
128,LOSS_22_def1,3.496004378112749,Control_hab_FINAL.db,62
129,LOSS_22_def1,7.088433077090708,Resilient_hab_FAIL.db,67
130,LOSS_22_def1,7.303234502028928,Resilient_hab_FAIL.db,70
131,LOSS_22_def1,7.377583939178407,Control_hab_FINAL.db,18
132,LOSS_22_def1,8.028107116686595,Control_hab_FINAL.db,13
133,LOSS_22_def3,4.172986218441498,Resilient_hab_FAIL.db,18
134,LOSS_22_def3,4.442037619245211,Resilient_hab_FAIL.db,25
135,LOSS_22_def3,5.510813811891022,Resilient_hab_FAIL.db,69
136,LOSS_22_def3,5.572924819149455,Susceptible_hab_FINAL.db,92
137,LOSS_22_def3,5.668125453429739,Susceptible_hab_FINAL.db,27
138,LOSS_22_def3,5.764945099069742,Susceptible_hab_FINAL.db,43
139,LOSS_22_def3,6.186598437774388,Susceptible_hab_FINAL.db,47
140,LOSS_23_def1,2.808059205168352,Resilient_hab_FAIL.db,75
141,LOSS_23_def1,4.817142257329181,Resilient_hab_FAIL.db,58
142,LOSS_23_def1,5.080988512670388,Susceptible_hab_FINAL.db,5
143,LOSS_23_def1,5.148850245475772,Susceptible_hab_FINAL.db,92
144,LOSS_23_def1,5.256061211430909,Susceptible_hab_FINAL.db,86
