source_db,trial_id,LOSS_13_hab3,LOSS_13_def2,LOSS_14_hab3,LOSS_14_def2,LOSS_15_hab3,LOSS_15_def2,LOSS_16_hab3,LOSS_16_def2,LOSS_17_hab3,LOSS_17_def2,LOSS_18_hab3,LOSS_18_def2,LOSS_19_hab3,LOSS_19_def2,LOSS_20_hab3,LOSS_20_def2,has_laziness,param_id_threshold,param_sensory_prec_slope,param_k_shelter,param_k_threat,param_delta_stay,metric_entropy,metric_n_ch_co,metric_n_co_ch,metric_n_co_sh,metric_n_sh_co,metric_t_investigating,metric_t_shelter,metric_laziness
avg_mouse_fit.db,0,58.28150604608442,24.467899152417957,47.748780884520315,54.759326087643636,61.19646629374162,42.95726730002951,35.38134933401783,63.4093836771946,26.90893938753606,71.38403393375278,14.009387722273303,28.19668746462526,25.458569232029653,25.410531845755276,19.19386389954267,24.75983715441359,False,0.8015743608573949,0.6011800254071928,1.2736228068154438,1.147344661011073,,4.457998186805288,25.333333333333332,25.333333333333332,15.0,16.0,0.31233333333333335,0.2301666666666667,
avg_mouse_fit.db,2,74.86252586847905,49.05117711751463,79.58065704448317,78.78685920368243,73.29954667327375,60.61019533739673,39.09654282389643,92.8312625675093,27.86658020327874,92.15751242499188,25.500267606144902,42.82425595767916,42.2460627230771,41.143027046925184,32.93940725955743,12.169987675719202,False,0.5742840331174175,0.6215214928358852,0.22480772473888935,1.7346718772664866,,4.205041161688423,17.333333333333332,18.0,8.666666666666666,9.666666666666666,0.48550000000000004,0.18416666666666667,
avg_mouse_fit.db,3,60.13274506170514,32.46346915947563,57.21099393871353,61.82196701315338,62.097111435161665,47.31080189274188,35.09196493619899,71.38739331838622,23.232509077004337,76.4278378241301,15.952799744867871,31.20829051712382,30.564895555185338,27.835872931176265,23.690448594360348,18.15698883668532,False,0.8163622957972614,0.36641156895310734,1.265337881665785,0.38305317569543296,,4.343365885894198,22.333333333333332,22.666666666666668,14.666666666666666,15.333333333333334,0.3925,0.23866666666666667,
avg_mouse_fit.db,4,94.2902453434071,70.74798923290862,105.79501399166236,103.32765420225317,90.35577087060449,80.04845909809973,54.95044434943248,119.97160042468919,38.73099269429296,116.70501966678572,41.173753324294125,60.986995676475985,63.254380020072865,59.02054561587351,53.09573405197945,19.402455684447055,False,0.9261522852179309,0.26511368566087584,0.5233836336875819,0.4480286271136128,,4.323086510481887,14.666666666666666,15.666666666666666,11.666666666666666,12.666666666666666,0.5628333333333333,0.10616666666666667,
avg_mouse_fit.db,7,23.422259625601303,8.481883763738677,17.242349493319566,22.008847402199464,26.917598983695814,16.09407359954325,15.751808315229457,26.00545506337773,10.546603807094545,31.730547773475006,3.859679044646395,7.964243168602911,8.90517560812956,5.394432520011831,9.743514797870333,22.357517811518512,False,0.8692809472215088,0.8328583503636546,0.7808570704680913,1.4714341426805009,,3.9062905883068986,19.0,19.666666666666668,16.666666666666668,17.666666666666668,0.2285,0.41083333333333333,
avg_mouse_fit.db,8,57.576505809072174,35.597740896755106,60.25977478786686,62.55487991049866,57.825920645318405,46.25320914098003,32.34914882016329,73.16909315012796,19.00327441661956,75.39016388673497,16.331739364052666,30.814115577732238,32.41200062751895,27.707343089880162,26.345137601442055,13.470908505566586,False,0.8577793133053033,0.5688196055554677,0.6218024797022081,1.7013254004993785,,4.34651491330343,18.666666666666668,19.333333333333332,15.333333333333334,16.333333333333332,0.42616666666666675,0.2305,
avg_mouse_fit.db,10,78.18550791154895,54.35899253801834,85.54261255265862,83.8275129925449,75.84476295269309,64.43917340354153,41.71494734326419,98.57102601926438,29.353245515734294,96.6712336577603,28.97224005923651,46.55352578203647,46.93203686393682,44.83787576737138,37.68722137194816,12.839709235069204,False,0.7065319143569028,0.556588789852014,0.35261821891611145,1.1342291801098006,,4.301270690639892,16.333333333333332,16.333333333333332,9.333333333333334,10.0,0.5083333333333333,0.17233333333333334,
avg_mouse_fit.db,14,71.70392000281389,47.90997526505466,78.17439285926136,76.2466140298581,68.78331289939737,57.378797637263304,36.18113736450628,91.14699195802432,25.09301509284308,89.07835139650882,24.377639641926763,40.736535448550825,41.24018188376909,39.645786285138854,32.82507451316369,9.82395383055133,False,0.8715105234325904,0.6061412453629199,0.28531140422073226,1.7889325732454069,,4.296016712148517,15.333333333333334,16.0,9.666666666666666,10.666666666666666,0.48233333333333334,0.16366666666666665,
avg_mouse_fit.db,17,103.92757244977477,83.45165941508758,119.21797019311482,115.96513914308211,99.81489312738358,91.20967811356861,64.01687702623104,132.79358850027924,45.4312257694325,128.43678955868324,50.65086098117202,71.25284629342559,74.72064336690924,68.68247538031663,64.22017015192021,25.05371894596734,False,0.8649441484705004,0.19232268716210518,0.4829082712503131,0.6017925498987959,,4.086738424081869,13.666666666666666,14.666666666666666,12.0,13.0,0.6058333333333333,0.11249999999999999,
avg_mouse_fit.db,20,104.68322100092284,73.52215526489904,113.77225802553194,105.84719567177746,96.2667815797735,83.12372795509356,51.762337192444036,128.29150910087927,45.838117286924515,120.26473557550227,45.5270938499182,65.05674418925655,62.82331458349466,67.879564782723,50.52122889636829,14.751646956518693,False,0.9365702473215584,0.18384508632735924,0.2623496909936246,0.5069370003161853,,3.7491222169745035,11.0,11.666666666666666,1.0,2.0,0.5401666666666667,0.017166666666666667,
avg_mouse_fit.db,21,107.3929060536681,83.65002955679677,120.47806345321207,119.044383538606,104.2410712110093,94.03198882001445,67.72253310565355,135.37801961158453,47.86626927258225,132.8933385737379,51.12276278473239,73.11814193420099,76.11700548299295,69.86751152813382,64.919120427672,27.798464750630572,False,0.8818467091717095,0.35500216359340664,0.44118984353841517,0.9365994592778184,,4.175707899839117,16.0,17.0,13.333333333333334,14.333333333333334,0.6038333333333333,0.09983333333333333,
